Actual CPI,Forecast CPI
72.5,80.5238846914099
72.5,80.5238846914315
72.7,80.52388469145099
72.6,80.52388469146821
74.7,80.52388469148462
74.7,80.52388469150108
75.1,80.52388469151697
76.7,80.52388469153146
77.8,80.52388469154442
77.3,80.52388469155646
78.2,80.52388469156817
78.7,80.52388469157957
79.2,80.5238846915902
79.7,80.52388469159965
81.0,80.52388469160815
82.5,80.52388469161632
85.3,80.52388469162439
85.5,80.52388469163185
85.9,80.52388469163847
86.5,80.52388469164441
86.4,80.52388469165001
87.0,80.52388469165541
89.1,80.5238846916605
93.5,80.52388469166507
94.2,80.52388469166912
95.1,80.52388469167286
94.7,80.52388469167644
94.7,80.52388469167988
94.9,80.52388469168297
94.6,80.52388469168565
94.6,80.5238846916881
96.1,80.52388469169041
96.1,80.52388469169261
95.6,80.52388469169462
98.5,80.52388469169634
98.2,80.52388469169787
99.7,80.52388469169928
99.7,80.52388469170064
99.2,80.5238846917019
99.7,80.52388469170302
99.8,80.52388469170398
100.0,80.52388469170486
100.8,80.52388469170575
100.5,80.52388469170651
101.0,80.52388469170721
102.6,80.52388469170776
106.1,80.52388469170825
105.8,80.52388469170872
106.3,80.52388469170916
105.9,80.52388469170953
106.7,80.52388469170985
106.7,80.52388469171012
108.4,80.5238846917104
107.5,80.52388469171063
56.4,80.52388469171082
57.1,80.52388469171099
56.2,80.52388469171112
58.1,80.52388469171123
58.5,80.52388469171137
57.6,80.52388469171149
59.7,80.52388469171156
57.5,80.52388469171166
57.6,80.52388469171174
57.7,80.52388469171179
60.2,80.52388469171181
60.3,80.52388469171181
59.6,80.5238846917118
60.7,80.52388469171179
60.1,80.52388469171177
61.9,80.52388469171179
61.9,80.5238846917118
61.5,80.52388469171179
62.8,80.52388469171179
63.1,80.52388469171174
63.3,80.52388469171176
61.4,80.52388469171177
64.3,80.52388469171176
64.1,80.52388469171169
64.5,80.52388469171164
62.4,80.52388469171164
63.4,80.52388469171166
64.6,80.52388469171163
64.3,80.5238846917116
64.1,80.5238846917116
67.5,80.52388469171161
67.3,80.5238846917116
65.3,80.52388469171157
66.1,80.52388469171154
68.1,80.52388469171152
69.0,80.52388469171149
70.6,80.52388469171149
68.4,80.52388469171147
69.2,80.52388469171146
70.2,80.52388469171143
71.0,80.5238846917114
71.4,80.5238846917114
71.4,80.5238846917114
72.7,80.5238846917114
72.5,80.52388469171139
69.9,80.52388469171136
74.4,80.52388469171132
74.1,80.52388469171132
74.8,80.52388469171129
72.5,80.52388469171125
72.4,80.52388469171125
72.4,80.52388469171126
72.0,80.52388469171129
72.6,80.52388469171134
73.0,80.52388469171133
74.9,80.5238846917113
74.3,80.5238846917113
73.5,80.52388469171127
75.2,80.52388469171126
75.1,80.52388469171122
76.0,80.52388469171119
77.2,80.52388469171119
78.3,80.5238846917112
79.3,80.5238846917112
79.3,80.5238846917112
79.3,80.52388469171119
79.0,80.52388469171116
77.8,80.52388469171116
78.6,80.52388469171113
77.7,80.52388469171109
76.7,80.52388469171109
78.8,80.52388469171109
78.8,80.52388469171109
79.9,80.52388469171112
80.0,80.52388469171115
81.1,80.52388469171113
81.3,80.5238846917111
79.1,80.5238846917111
81.8,80.52388469171112
80.3,80.52388469171109
81.8,80.52388469171106
82.4,80.52388469171103
83.8,80.52388469171103
82.4,80.52388469171109
86.6,80.52388469171117
86.5,80.5238846917112
86.9,80.52388469171117
89.4,80.52388469171116
89.6,80.52388469171117
89.1,80.52388469171116
89.8,80.52388469171116
89.5,80.52388469171115
92.3,80.52388469171115
94.5,80.52388469171116
95.6,80.5238846917112
93.9,80.5238846917112
94.9,80.52388469171117
95.4,80.52388469171115
94.4,80.52388469171113
95.0,80.5238846917111
95.0,80.5238846917111
95.7,80.52388469171109
96.8,80.52388469171109
98.1,80.52388469171106
96.9,80.52388469171109
101.9,80.52388469171112
100.0,80.52388469171112
100.8,80.52388469171112
102.8,80.52388469171112
103.1,80.52388469171112
102.5,80.52388469171115
101.3,80.52388469171115
99.7,80.52388469171115
100.0,80.52388469171112
101.4,80.52388469171113
102.1,80.52388469171113
